,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
47,0.008106219,0,0.000332174,0.03055822,400,1,99000,0.014765024,254.4425,99000,250.1435,99000,99000,6,10000,0,0,1,1.570799129,2,0,0,0,5,0.02873446,-0.8678101,0.925279,3.500089,0,0,90.07784,0,-0.001763584,70,0,-3.07E-05,-0.009366611,-0.06788077
48,0.008226299,0,0.000332391,0.03018279,400,1,99000,0.014874816,254.4426,99000,250.1436,99000,99000,6,10000,0,0,1,1.570799164,2,0,0,0,5,0.02873394,-0.8678107,0.9252785,3.500089,0,0,90.07784,0,-0.001698005,70,0,-2.80E-05,-0.009123469,-0.06788077
49,0.007926285,0,0.000330006,0.02931924,400,1,99000,0.014975996,254.4426,99000,250.1436,99000,99000,6,10000,0,0,1,1.570799195,2,0,0,0,5,0.02873394,-0.8678107,0.9252785,3.500089,0,0,90.07784,0,-0.001633282,70,0,-2.54E-05,-0.008885412,-0.06788077
50,0.006658483,0,0.000316481,0.0268207,400,1,99000,0.015044192,254.4426,99000,250.1436,99000,99000,6,10000,0,0,1,1.570799245,2,0,0,0,5,0.02873359,-0.867811,0.9252782,3.500089,0,0,90.07784,0,-0.001519616,70,0,-2.03E-05,-0.008449791,-0.06788077
51,0.005772601,0,0.000304849,0.02524464,400,1,99000,0.015127094,254.4426,99000,250.1436,99000,99000,6,10000,0,0,1,1.570799267,2,0,0,0,5,0.02873359,-0.867811,0.9252782,3.500089,0,0,90.07784,0,-0.001470037,70,0,-1.79E-05,-0.008241827,-0.06788077
52,0.004810486,0,0.000291881,0.02355669,400,1,99000,0.015207604,254.4426,99000,250.1436,99000,99000,6,10000,0,0,1,1.570799286,2,0,0,0,5,0.02873359,-0.867811,0.9252782,3.500089,0,0,90.07784,0,-0.001427904,70,0,-1.55E-05,-0.008047003,-0.06788077
53,0.003831475,0,0.000276056,0.02184427,400,1,99000,0.015285953,254.4426,99000,250.1436,99000,99000,6,10000,0,0,1,1.570799302,2,0,0,0,5,0.02873308,-0.8678115,0.9252777,3.500089,0,0,90.07784,0,-0.001393572,70,0,-1.32E-05,-0.007865838,-0.06788077
54,0.002886385,0,0.000257788,0.02017292,400,1,99000,0.015362361,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799317,2,0,0,0,5,0.02873289,-0.8678117,0.9252775,3.500089,0,0,90.07784,0,-0.001366956,70,0,-1.11E-05,-0.007698236,-0.06788077
55,0.001262399,0,0.000216391,0.01716438,400,1,99000,0.015437027,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799338,2,0,0,0,5,0.02873289,-0.8678117,0.9252775,3.500089,0,0,90.07784,0,-0.001334722,70,0,-7.28E-06,-0.007401051,-0.06788077
56,0.00064369,0,0.000194308,0.01590617,400,1,99000,0.015510122,254.4427,99000,250.1437,99000,99000,6,10000,0,0,1,1.570799346,2,0,0,0,5,0.02873273,-0.8678119,0.9252773,3.500089,0,0,90.07784,0,-0.001327326,70,0,-5.65E-06,-0.007269213,-0.06788077
